cfg_1,cfg_2,cfg_3,cfg_4,cfg_5,cfg_6,cfg_7,cfg_8,cfg_9,cfg_10,cfg_11,cfg_12,cfg_13,cfg_14,cfg_15,cfg_16,cfg_17,cfg_18,cfg_19,cfg_20,throughput
890,570915364,995,297860271,86379322,487644503,51522,558836254,0,43,12991410821,21956,2631698344,69,48826480,minimal,3464,76151868,46,292219,344.35
794,82747690,995,291691602,86379322,527532605,4743,558836254,0,49,10949738675,21956,2664221900,47,47806851,noblob,3464,76151868,87,656945,340.43
890,375648294,538,297860271,39570668,527532605,12553,558836254,0,76,12991410821,21956,2664221900,47,48826480,minimal,3808,54407581,19,851535,371.97
890,151095712,538,236236880,25258631,527532605,12553,207261268,0,76,12991410821,16158,1677692174,41,48826480,minimal,3808,10306050,87,851535,382.51
817,151095712,1360,244461770,25258631,527532605,13190,171431280,0,76,12991410821,16158,1677692174,41,48826480,minimal,3234,53181669,87,851535,311.51
964,82747690,629,293747825,25258631,527532605,4106,207261268,0,76,12991410821,16158,1198857345,43,60931475,noblob,3922,10306050,87,656945,375.53
890,151095712,538,236236880,25258631,527532605,12553,207261268,0,76,12991410821,16158,1677692174,41,48826480,minimal,3808,10306050,87,851535,387.48
927,278014760,995,338258499,115003396,527532605,43712,558836254,0,76,12991410821,16158,2664221900,41,42094230,minimal,3808,76151868,19,851535,343.72
890,151095712,995,297860271,25258631,527532605,19007,207261268,0,43,12991410821,21956,2664221900,41,48826480,minimal,3808,76151868,19,851535,328.14
890,151095712,538,309503027,25258631,527532605,23590,226494893,0,76,13586109280,19057,2138433481,57,48826480,minimal,3808,71059294,80,916398,373.28
890,151095712,538,309503027,25258631,527532605,23590,226494893,0,76,13586109280,19057,2138433481,57,48826480,minimal,3808,71059294,80,916398,371.01
964,209666738,538,236236880,84443051,527532605,9922,207261268,1,76,11192542265,21886,2120339959,62,22577232,minimal,3922,55020536,53,721808,349.78
205,112033203,538,236236880,54778495,118245851,120511,207261268,0,9,10515869129,17573,1677692174,114,48826480,minimal,878,33276249,93,851535,394.78
158,112033203,1725,236236880,56947373,118245851,47643,207261268,0,87,10515869129,17573,2734985968,37,6059194,minimal,878,33276249,93,851535,327.4
205,652781934,538,133552325,54778495,118245851,38501,231091837,0,11,14300524863,16300,2559363914,34,36721486,minimal,4229,28444862,93,851535,394.4
205,112033203,812,236236880,54778495,118245851,24275,278837110,0,36,12186988697,14997,1677692174,114,48826480,minimal,3196,31978079,93,921883,372.42
205,375648294,1360,382769173,115003396,118245851,43712,558836254,0,43,12991410821,21956,2664221900,65,23256985,minimal,878,33276249,93,981261,332.08
548,243840749,538,310531138,70578908,404746579,120511,383048761,0,35,11753639975,17573,1677692174,114,48826480,minimal,2056,54714059,93,851535,396.58
205,112033203,538,236236880,54778495,73052958,15469,31473776,1,34,10515869129,17573,1184427311,40,48826480,minimal,9194,33276249,93,851535,347.72
587,58351063,310,236236880,17510026,118245851,120511,31473776,1,9,13896053427,15381,1677692174,114,48826480,minimal,2044,33276249,33,851535,329.84
396,112033203,424,236236880,54778495,118245851,120511,207261268,0,9,10515869129,17573,1677692174,114,48826480,minimal,878,33276249,63,851535,396.76
205,112033203,1177,236236880,69255339,118245851,35959,278837110,2,57,10515869129,17573,1677692174,113,48826480,minimal,878,33276249,93,665769,334.28
364,112033203,538,262484480,54778495,118245851,42231,529478758,0,9,12411638068,17573,1677692174,40,116603368,minimal,2133,51363071,93,851535,375.22
205,320818820,538,236236880,92103865,546983894,120511,422072928,0,53,12813849129,13833,2350923877,41,98046070,minimal,878,36694219,93,851535,393.29
205,112033203,471,236236880,79995553,118245851,120511,207261268,1,9,10515869129,17573,1677692174,114,98046070,full,1501,42593285,93,190397,345.82
347,112033203,550,276926145,54778495,577393470,15892,207261268,0,9,10515869129,17573,2292962905,114,48826480,minimal,878,41118519,93,851535,382.59
205,112033203,538,236236880,54778495,332614873,120511,207261268,0,31,11664859129,17573,1677692174,77,73436275,minimal,878,34985234,93,851535,396.13
205,112033203,538,162970733,24666045,107384015,67109,188027644,0,9,10515869129,17573,1677692174,114,61611228,minimal,878,33276249,44,786671,366.11
205,92501948,538,236236880,54778495,118245851,5704,207261268,0,9,10515869129,17573,1677692174,17,48826480,minimal,1355,33276249,93,851535,389.05
205,195023981,538,287247689,84890946,118245851,120511,207261268,0,42,11753639975,17573,1677692174,114,48826480,minimal,2343,54714059,56,851535,397.4
205,112033203,538,269104798,84890946,118245851,120511,207261268,0,44,12872506118,17573,1503321872,114,42773983,minimal,1942,76458346,93,851535,388.75
586,112033203,398,236236880,54778495,332614873,120511,207261268,0,48,11664859129,17573,1677692174,24,108055397,minimal,878,34985234,38,851535,390.85
479,25300873,538,236236880,54778495,332614873,5460,207261268,1,54,11962339327,17625,1677692174,77,73436275,minimal,2286,34985234,93,427137,343.41
626,320818820,538,236236880,54778495,332614873,120511,389521254,0,53,12813849129,17573,1677692174,77,73436275,minimal,878,34985234,93,851535,386.04
998,601694011,1104,549574017,107840900,527718530,120511,373743896,0,31,14067569994,17573,1677692174,8,98046070,minimal,878,34985234,93,851535,328.08
205,112033203,1104,236236880,54778495,332614873,56785,373743896,1,66,14067569994,17573,1677692174,77,73436275,minimal,878,34985234,93,513539,299.21
205,112033203,538,267048575,54778495,332614873,86017,383048761,0,37,11664859129,19764,2154695259,73,73436275,minimal,2171,34985234,70,571877,382.56
890,375648294,538,382769173,54778495,332614873,43712,207261268,0,31,12991410821,21956,1677692174,65,23256985,minimal,3464,34985234,19,981261,394.84
205,601694011,1104,236236880,107840900,527718530,120511,373743896,0,31,11664859129,17573,1677692174,8,73436275,minimal,878,34985234,93,851535,330.4
205,112033203,255,236236880,54778495,332614873,120511,124019955,0,31,10463503697,17573,1677692174,77,73436275,minimal,878,34985234,93,570480,389.0
566,195023981,538,287247689,54778495,430073739,120511,383048761,0,31,11664859129,17573,1677692174,77,73436275,minimal,878,55568551,56,851535,370.47
347,110162427,550,236236880,73950822,332614873,105440,401354272,0,61,11664859129,14826,3201894265,77,73436275,minimal,878,34985234,29,851535,388.29
205,252470798,696,116474696,64461375,115651251,32300,207261268,0,16,11664859129,17573,1677692174,103,48826480,minimal,1615,27976424,93,851535,371.1
205,112033203,538,1017357073,107840900,332614873,56785,373743896,0,66,14067569994,12810,2144462459,77,98046070,minimal,878,21378430,93,513539,388.05
205,180381225,629,236236880,54778495,332614873,120511,397409933,0,53,11664859129,16579,1677692174,30,98046070,minimal,878,34985234,93,207059,374.63
254,180381225,629,236236880,54778495,332614873,120511,397409933,0,31,12186988697,17573,2850788171,52,73436275,minimal,878,34985234,93,851535,381.64
205,112033203,538,236236880,54778495,332614873,39668,295155015,0,29,11664859129,17573,1924324606,77,85741173,minimal,878,35839727,93,851535,393.35
205,112033203,218,236236880,47540073,439799383,120511,207261268,1,18,12239354129,17573,1677692174,77,73436275,minimal,878,35839727,93,851535,349.73
205,112033203,538,236236880,28247293,235063044,120511,207261268,0,31,11664859129,17573,1677692174,112,73436275,minimal,878,34985234,93,851535,363.98
890,112033203,1725,382769173,115003396,447756401,120511,245728517,0,70,14180807739,21956,2599174788,77,73436275,minimal,878,34985234,74,851535,316.98
205,112033203,538,626796976,54778495,332614873,88648,207261268,0,49,11664859129,17573,1911077316,77,73436275,minimal,878,28181832,93,682537,386.95
479,112033203,812,236236880,54778495,534112068,20370,486011772,0,45,12589199759,20524,1677692174,77,73436275,minimal,2851,34985234,93,427137,366.69
205,991353313,538,873257293,54778495,335209473,120511,381632575,0,66,11664859129,14067,1677692174,77,98046070,minimal,878,21378430,93,851535,390.66
998,112033203,538,236236880,78792262,332614873,21734,207261268,1,31,11664859129,12810,2850788171,41,98046070,minimal,2238,37277903,50,851535,340.15
998,601694011,629,236236880,78792262,527718530,21734,207261268,0,31,12186988697,14067,1677692174,41,98046070,minimal,2238,37277903,50,411379,379.04
205,320818821,629,236236880,78792262,332614873,21734,207261268,0,31,12186988697,15323,1677692174,41,98046070,minimal,878,34985234,93,309219,394.81
205,68667038,538,236236880,54778495,332614873,120511,207261268,0,31,11813599228,17599,1677692174,77,73436275,minimal,878,34985234,93,851535,396.68
205,112033203,538,236236880,54778495,332614873,120511,207261268,0,49,11664859129,17573,1911077316,77,73436275,minimal,878,34985234,93,851535,390.46
205,112033203,538,236236880,54778495,225430362,120511,207261268,0,20,11090364129,17573,1677692174,77,73436275,minimal,878,34985234,93,851535,389.89
549,112033203,127,162970733,24666045,71441305,120511,207261268,0,22,11664859129,16706,1184427311,83,98525921,minimal,574,34985234,35,851535,372.34
601,112033203,821,392905448,54778495,430166701,120511,207261268,0,31,12866214562,17573,1677692174,77,73436275,minimal,878,34985234,93,851535,369.25
205,386955554,629,55161772,90799145,631756859,120511,387299844,1,54,12186988697,17599,1677692174,47,94569243,minimal,878,40417279,29,150248,333.91
642,74583562,264,101657808,54778495,332614873,120511,296476596,0,48,11784777635,13890,1677692174,77,103877164,minimal,5408,34985234,93,350812,398.7
575,74583562,264,155440869,78792262,332614873,120511,387299844,0,48,12186988697,16579,1677692174,77,82264346,minimal,5408,39270945,50,350812,391.91
575,246517959,264,101657808,54778495,532907730,62268,387299844,0,46,11784777635,13890,1677692174,52,82264346,minimal,3483,34985234,50,472486,391.71
642,74583562,629,1041696096,54778495,332614873,81835,296476596,0,46,12186988697,16579,2850788171,30,103877164,minimal,5408,34985234,93,77296,375.12
503,93308382,264,182071144,54778495,225430362,120511,296476596,0,28,12098207851,15731,1677692174,77,110240266,minimal,5408,34985234,93,601173,395.48
424,93308382,401,101657808,54778495,225430362,120511,251868932,0,46,12328641877,13890,1590507023,77,103877164,minimal,3675,34985234,93,601173,395.53
205,74583562,538,626796976,54778495,332614873,120511,207261268,0,49,11664859129,17573,1911077316,77,73436275,minimal,878,34985234,93,350812,387.07
642,134803772,401,101657808,54778495,381344306,120511,296476596,0,39,11784777635,15731,1677692174,77,88656720,minimal,5408,34985234,75,601173,392.11
609,74583562,264,128549339,66785378,332614873,120511,341888220,0,48,11784777635,15234,1677692174,77,93070755,minimal,5408,34985234,72,350812,381.96
642,74583562,264,55161772,90799145,332614873,120511,296476596,1,48,11784777635,13890,3437336169,77,103877164,minimal,5408,40417279,29,350812,346.29
642,542878656,264,101657808,81841604,321684890,30589,312445689,0,48,11784777635,13890,2264240172,67,103877164,minimal,5408,44002939,53,263870,396.89
642,74583562,271,275203052,54778495,1034656828,120511,296476596,0,48,13153740600,374,1677692174,64,103877164,minimal,6457,34985234,51,350812,387.82
259,344473430,264,101657808,54778495,332614873,45717,387299844,0,48,11784777635,13890,2379904363,77,103877164,minimal,5408,41263986,93,393657,392.38
498,358598850,271,416822435,97597592,332614873,36969,296476596,0,48,13153740600,13890,3321671979,77,15916365,minimal,5408,41263986,93,350812,396.22
766,74583562,264,101657808,70578908,430073739,120511,427656425,0,48,12388094228,17923,1677692174,71,103877164,minimal,5408,55568551,93,350812,389.11
642,74583562,264,101657808,54778495,118245851,120511,296476596,0,48,11784777635,13890,1677692174,114,48826480,minimal,5408,33276249,63,350812,393.5
549,112033203,127,162970733,24666045,71441305,120511,296476596,0,48,11664859129,13890,1184427311,83,103877164,minimal,5408,34985234,93,350812,368.07
861,74583562,264,124905827,36768170,183043879,120511,251064971,0,48,11583672104,13890,1677692174,77,103877164,minimal,7673,32269211,93,350812,380.52
642,74583562,264,101657808,54778495,332614873,120511,296476596,0,48,11784777635,13890,1677692174,77,103877164,minimal,5408,34985234,93,350812,394.35
352,74583562,541,255719966,112633181,414126901,120511,296476596,0,86,12670364649,3573,2735123981,77,103877164,minimal,5408,34985234,71,937667,388.54
306,419029252,264,294686139,54778495,332614873,43125,296476596,0,77,11784777635,584,1677692174,77,103877164,minimal,5408,34985234,93,258017,385.17
642,74583562,264,179992093,54778495,332614873,120412,260688675,0,45,12124390567,15178,1677692174,59,116182061,minimal,4249,34985234,93,350812,389.82
229,18798233,2210,728481675,27082544,511714026,78662,259146432,0,78,14403760686,24647,1600998143,108,120684143,full,6653,90474566,31,623626,293.67
229,18798233,4727,716712250,63315101,511714026,78662,498459408,0,40,14897900420,24647,1600998143,101,117347480,full,4612,79209290,31,471120,296.07
229,18798233,16106,716712250,63315101,209609765,1878,498459408,0,40,13702094290,24647,3181869827,101,117347480,noblob,4612,79209290,58,471120,270.42
475,262156605,4727,716712250,63315101,511714026,78662,737772384,0,40,14897900420,23986,1600998143,101,112342487,full,4612,85896523,12,382712,284.41
475,18798233,4727,716712250,63315101,511714026,58661,498459408,0,64,14690373759,24647,1600998143,108,117347480,full,6653,79209290,31,515324,294.95
